,index,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,Question Text,question_type,motivation_type
19,Q101,83.0,240.0,153.0,41.0,517.0,0.62,0.24,0.46,0.35,0.47,0.67,0.39,0.3,0.52,0.2,-0.18,0.79,0.99,0.04,,I feel responsible to the repository success,Person in Project,Ownership
20,Q97,71.0,263.0,132.0,53.0,519.0,0.64,0.24,0.39,0.35,0.46,0.57,0.33,0.28,0.56,0.16,-0.15,0.79,0.97,0.03,,I enjoy trying to solve complex problems,Person,Joy
21,Q93,59.0,278.0,117.0,65.0,519.0,0.65,0.24,0.34,0.34,0.4,0.48,0.3,0.24,0.58,0.11,-0.15,0.79,0.92,0.02,,I write tests for my code,Person,
22,Q83.1,44.0,219.0,99.0,48.0,410.0,0.64,0.22,0.35,0.31,0.37,0.48,0.31,0.23,0.58,0.1,-0.17,0.77,0.93,0.01,,"The repository’s community of developers is more motivated than that of other repositories. If you are the only developer in the project, please skip.",Project,Community
23,Q67,56.0,278.0,117.0,67.0,518.0,0.64,0.24,0.33,0.32,0.36,0.46,0.3,0.23,0.59,0.1,-0.15,0.79,0.92,0.01,,I’m interested in the repository for my own needs,Person in Project,Self-use
24,Q84.1,82.0,221.0,170.0,41.0,514.0,0.59,0.24,0.49,0.33,0.36,0.67,0.43,0.28,0.51,0.17,-0.23,0.79,1.0,0.03,,My personal motivation in this repository has increased since a year ago,Person in Project,
25,Q99,71.0,238.0,156.0,53.0,518.0,0.6,0.24,0.44,0.31,0.31,0.57,0.4,0.25,0.53,0.12,-0.22,0.79,0.99,0.02,,I improved as a programmer since a year ago,Person,
26,Q96,45.0,296.0,98.0,79.0,518.0,0.66,0.24,0.28,0.31,0.31,0.36,0.25,0.2,0.62,0.07,-0.13,0.79,0.85,0.01,,I try to write high quality code because others will see it,Person,Recognition
27,Q34,70.0,234.0,159.0,52.0,515.0,0.59,0.24,0.44,0.31,0.29,0.57,0.4,0.25,0.53,0.12,-0.23,0.79,0.99,0.02,,I have complete autonomy in contributing to the repository,Person in Project,Ownership
28,Is_Paid,71.0,230.0,157.0,53.0,511.0,0.59,0.24,0.45,0.31,0.28,0.57,0.41,0.25,0.53,0.12,-0.22,0.8,0.99,0.01,,Is_Paid,Person in Project,Payment
29,Q92,73.0,228.0,166.0,51.0,518.0,0.58,0.24,0.46,0.31,0.28,0.59,0.42,0.25,0.52,0.12,-0.24,0.79,1.0,0.01,,It is important for me to program well,Person,
30,Q81,74.0,217.0,173.0,49.0,513.0,0.57,0.24,0.48,0.3,0.25,0.6,0.44,0.25,0.51,0.11,-0.25,0.79,1.0,0.01,,The quality of the code in this repository is better than others,Project,
31,Q90,69.0,226.0,169.0,55.0,519.0,0.57,0.24,0.46,0.29,0.21,0.56,0.43,0.24,0.52,0.09,-0.25,0.79,1.0,0.01,,I want my code to be beautiful,Person,
32,Q65_1,54.0,200.0,145.0,59.0,458.0,0.55,0.25,0.43,0.27,0.1,0.48,0.42,0.21,0.53,0.04,-0.26,0.81,0.99,0.0,,Years of contribution to GitHub - Click to write Choice 1,Person,
33,Q94,57.0,235.0,160.0,67.0,519.0,0.56,0.24,0.42,0.26,0.1,0.46,0.41,0.2,0.54,0.04,-0.26,0.79,0.98,0.0,,I write detailed commit messages,Person,
34,Q98,57.0,230.0,165.0,66.0,518.0,0.55,0.24,0.43,0.26,0.08,0.46,0.42,0.2,0.54,0.03,-0.27,0.79,0.99,0.0,,I contribute to open source in order to become a better programmer,Person,
35,Q95,56.0,230.0,164.0,68.0,518.0,0.55,0.24,0.42,0.25,0.06,0.45,0.42,0.19,0.54,0.02,-0.27,0.79,0.98,0.0,,I contribute to open source in order to have an online portfolio,Person,Recognition
36,Q61_1,58.0,195.0,174.0,59.0,486.0,0.52,0.24,0.48,0.25,0.04,0.5,0.47,0.2,0.51,0.02,-0.31,0.8,1.0,0.0,,Age,Person,
37,Q68,38.0,196.0,127.0,55.0,416.0,0.56,0.22,0.4,0.23,0.03,0.41,0.39,0.17,0.56,0.01,-0.28,0.77,0.97,0.0,,"We have many heated arguments in the community. If you are the only developer in the project, please skip.",Project,Hostility
38,Q83,45.0,255.0,138.0,79.0,517.0,0.58,0.24,0.35,0.25,0.03,0.36,0.35,0.17,0.58,0.01,-0.24,0.79,0.94,0.0,,"My motivation has more influence on my productivity, than my skill",Person,
39,Q96.1,28.0,229.0,99.0,65.0,421.0,0.61,0.22,0.3,0.22,-0.0,0.3,0.3,0.15,0.61,-0.0,-0.22,0.76,0.88,0.0,,"In the past year, members of my GitHub community made demeaning or derogatory remarks about me. If you are the only developer in the project, please skip.",Person in Project,Hostility
40,Q69,36.0,191.0,132.0,60.0,419.0,0.54,0.23,0.4,0.21,-0.06,0.38,0.41,0.16,0.55,-0.02,-0.3,0.78,0.97,0.0,,"I wish that certain developers in the repository will leave. If you are the only developer in the project, please skip.",Person in Project,Hostility
41,Q1,46.0,213.0,182.0,78.0,519.0,0.5,0.24,0.44,0.2,-0.16,0.37,0.46,0.15,0.53,-0.06,-0.34,0.79,0.99,0.0,,Productivity is more important to me than quality,Person,
42,Q95.1,24.0,201.0,125.0,71.0,421.0,0.53,0.23,0.35,0.16,-0.29,0.25,0.38,0.11,0.58,-0.08,-0.31,0.77,0.94,0.01,,"In the past year, members of my GitHub community put me down or were condescending to me. If you are the only developer in the project, please skip.",Person in Project,Hostility
43,Q78,0.0,394.0,0.0,123.0,517.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,0.0,0.0,0.79,0.0,0.0,,I am a core member of the repository,Person in Project,Ownership
44,Q102,0.0,394.0,0.0,124.0,518.0,0.76,0.24,0.0,0.0,-1.0,0.0,0.0,0.0,0.76,0.0,0.0,0.79,0.0,0.0,,I have significant influence on the repository,Person in Project,Ownership
